"","success","goal_adj","country","category","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_yr","created_at_month","created_at_yr","launched_at_month","launched_at_yr","create_to_launch_days","launch_to_deadline_days","avg_pledge"
"15767",1,45528.0376156832,"US","Other",12,10,22,18,"Tuesday","Tuesday","Monday","10","2016","7","2016","9","2016",62,36,192.767734733141
"15768",1,548.949526696942,"GB","Other",3,3,13,11,"Thursday","Tuesday","Tuesday","5","2015","3","2015","4","2015",42,30,38.9216333787708
"15769",1,2054.98637762815,"US","Other",7,6,17,13,"Wednesday","Tuesday","Monday","10","2014","9","2014","9","2014",5,30,74.6603785751528
"15770",1,765.279533478998,"GB","Other",8,8,11,7,"Friday","Friday","Tuesday","1","2016","12","2015","12","2015",3,30,13.5944692522244
"15771",1,228.776177006411,"NL","Other",6,6,18,15,"Wednesday","Friday","Monday","8","2015","7","2015","7","2015",2,30,23.1177141842849
"15772",1,512.544426426477,"US","Other",8,8,13,9,"Sunday","Friday","Friday","8","2015","7","2015","7","2015",0,30,36.642858676585
"15773",1,405.755264087801,"US","Other",7,6,19,15,"Thursday","Sunday","Tuesday","9","2016","8","2016","8","2016",2,30,33.4082920308357
"15774",1,816.783825400013,"US","Other",3,3,22,16,"Friday","Monday","Tuesday","6","2016","4","2016","4","2016",1,45,156.312004585928
"15775",1,625.401327302394,"CA","Other",7,7,12,8,"Wednesday","Saturday","Monday","3","2015","2","2015","2","2015",2,30,24.9520170805618
"15776",1,5081.31994452335,"US","Other",8,8,18,13,"Friday","Tuesday","Wednesday","7","2016","6","2016","7","2016",8,23,41.6960685519664
"15777",1,756.237063829896,"CA","Other",11,7,18,13,"Monday","Friday","Thursday","2","2016","11","2015","12","2015",34,60,35.3945104728928
"15778",1,34986.5349011545,"GB","Other",9,6,21,15,"Sunday","Tuesday","Tuesday","7","2014","2","2014","7","2014",146,25,101.214686520101
"15779",1,1597.06079358063,"US","Other",6,5,21,15,"Saturday","Monday","Thursday","2","2014","12","2013","1","2014",23,30,46.3062443686036
"15780",1,20562.0723362659,"US","Other",10,7,20,15,"Saturday","Tuesday","Monday","4","2016","2","2016","2","2016",6,40,85.3362984099524
"15781",1,15736.9475321522,"US","Other",7,6,20,14,"Tuesday","Thursday","Saturday","8","2014","5","2014","6","2014",30,45,173.993387726041
"15782",1,3079.16023438059,"US","Other",10,10,26,21,"Sunday","Saturday","Friday","11","2015","9","2015","10","2015",6,29,65.864703680179
"15783",1,517.014442146659,"US","Other",4,4,23,16,"Sunday","Friday","Tuesday","5","2015","1","2015","3","2015",53,40,32.8539177327741
"15784",1,513.848292128206,"US","Other",4,4,15,10,"Sunday","Sunday","Tuesday","12","2014","10","2014","10","2014",9,39,31.1380252425276
"15785",1,507.194080109751,"US","Other",11,10,22,19,"Wednesday","Thursday","Monday","9","2016","8","2016","8","2016",3,30,205.582667137819
"15786",1,5124.45396505376,"US","Other",9,9,16,10,"Wednesday","Sunday","Monday","4","2016","2","2016","3","2016",36,30,78.259609784257
"15787",1,1129.96730635861,"CA","Other",7,7,18,13,"Friday","Sunday","Wednesday","12","2016","11","2016","11","2016",2,30,82.3653276419839
"15788",1,514.817518556183,"US","Other",7,5,7,5,"Sunday","Sunday","Tuesday","12","2014","11","2014","11","2014",2,33,25.2996037690467
"15789",1,5164.7602678836,"US","Other",7,7,21,15,"Friday","Thursday","Thursday","5","2015","4","2015","4","2015",14,15,47.7785105937625
"15790",1,12320.8388736472,"US","Other",7,7,21,16,"Tuesday","Sunday","Monday","2","2016","12","2015","1","2016",15,35,28.3397551459242
"15791",1,930.866457464021,"GB","Other",10,9,13,9,"Friday","Thursday","Friday","11","2016","10","2016","10","2016",1,14,8.86329596219541
"15792",1,3989.92468861622,"AU","Other",8,6,22,13,"Tuesday","Tuesday","Sunday","4","2015","3","2015","3","2015",4,30,91.0261957632495
"15793",1,1026.38674479353,"US","Other",7,7,19,12,"Sunday","Sunday","Tuesday","11","2015","4","2015","10","2015",184,40,58.9110598865113
"15794",1,2390.71766625346,"US","Other",7,7,13,10,"Thursday","Wednesday","Tuesday","2","2015","1","2015","1","2015",5,30,64.8612097279198
"15795",1,518.407254123786,"US","Other",5,5,23,13,"Sunday","Friday","Monday","3","2015","1","2015","2","2015",3,27,29.3270389475742
"15796",1,3082.20700805902,"US","Other",3,3,13,11,"Tuesday","Thursday","Sunday","8","2014","5","2014","7","2014",52,30,251.71357232482
"15797",1,4267.74885308579,"CA","Other",5,5,7,7,"Tuesday","Saturday","Tuesday","10","2015","4","2014","9","2015",507,28,131.048189730886
"15798",1,46855.2135907439,"GB","Other",9,8,22,15,"Saturday","Friday","Thursday","7","2015","6","2015","6","2015",12,30,115.764654418963
"15799",1,9073.6284531414,"US","Other",6,5,19,12,"Friday","Tuesday","Wednesday","12","2016","10","2016","11","2016",7,30,71.9291273739936
"15800",1,2562.22698252688,"US","Other",6,6,13,10,"Saturday","Tuesday","Thursday","4","2016","3","2016","3","2016",2,30,27.6073895316051
"15801",1,517.014442146659,"US","Other",7,5,20,14,"Sunday","Sunday","Wednesday","4","2015","3","2015","3","2015",3,46,51.0420634768557
"15802",1,10993.0702761004,"FR","Other",12,11,13,8,"Thursday","Tuesday","Tuesday","12","2015","10","2015","11","2015",27,30,57.8015206765693
"15803",1,1096.09865477218,"AU","Other",8,7,16,10,"Tuesday","Thursday","Monday","12","2015","11","2015","11","2015",4,28,41.836602363221
"15804",1,5124.45396505376,"US","Other",6,6,22,14,"Friday","Wednesday","Monday","3","2016","3","2016","3","2016",4,18,35.8557046959332
"15805",1,512.544426426477,"US","Other",9,9,25,20,"Wednesday","Thursday","Monday","8","2015","7","2015","7","2015",4,30,47.3349852640923
"15806",1,3047.25628793366,"US","Other",6,5,20,16,"Tuesday","Wednesday","Sunday","7","2016","5","2016","6","2016",25,30,65.5866419588371
"15807",1,2839.26985966564,"DE","Other",9,9,21,12,"Wednesday","Tuesday","Thursday","8","2015","6","2015","7","2015",57,27,458.697973398758
"15808",1,507.876047988944,"US","Other",11,11,26,19,"Wednesday","Sunday","Monday","7","2016","4","2016","6","2016",64,30,219.587134930492
"15809",1,5149.59853681452,"ES","Other",7,6,13,13,"Thursday","Wednesday","Monday","3","2016","1","2016","2","2016",26,38,64.1513290900204
"15810",1,6313.41178905788,"US","Other",4,4,13,10,"Saturday","Saturday","Friday","6","2013","5","2013","5","2013",5,29,84.9154275345062
"15811",1,879.876894860925,"GB","Other",2,2,24,16,"Monday","Sunday","Saturday","8","2014","6","2014","7","2014",26,30,16.9054384381419
"15812",1,513.848292128206,"US","Other",9,7,17,13,"Monday","Monday","Tuesday","11","2014","10","2014","10","2014",0,26,26.1230684131463
"15813",1,661.172884242044,"CA","Other",8,8,21,13,"Saturday","Wednesday","Thursday","5","2015","4","2015","4","2015",1,30,53.5843877792924
"15814",1,944.808971446128,"CA","Other",10,10,24,16,"Saturday","Monday","Thursday","6","2016","5","2016","5","2016",2,30,113.374874327324
"15815",1,947.403978481171,"US","Other",8,7,20,13,"Tuesday","Monday","Friday","4","2013","2","2013","4","2013",38,25,28.6305238904851
"15816",1,5275.82821979771,"US","Other",6,6,11,10,"Sunday","Saturday","Wednesday","12","2012","10","2012","11","2012",31,39,27.0106938256256
"15817",1,6337.40666190507,"US","Other",10,7,21,14,"Friday","Thursday","Saturday","9","2012","8","2012","9","2012",8,20,69.1523396508644
"15818",1,1345.769550508,"GB","Other",10,10,21,15,"Tuesday","Thursday","Friday","3","2015","2","2015","2","2015",0,39,26.8537387670125
"15819",1,12330.8009770067,"US","Other",9,9,23,12,"Thursday","Wednesday","Monday","9","2014","7","2014","8","2014",11,24,394.38458559611
